Make,Model,Year,Color,Price,Foreign/Local,Engine Type,Mileage
Subaru,Forester,2017,Silver,"KSh 2,900,000",Foreign Used,Automatic,
Land,Rover,2016,White,"KSh 6,350,000",Foreign Used,Automatic,
Toyota,Porte,2016,Black,"KSh 1,150,000",Foreign Used,Automatic,79000
Toyota,Spade,2015,Silver,"KSh 1,130,000",Foreign Used,Automatic,16000
Toyota,Aqua,2016,Silver,"KSh 1,200,000",Foreign Used,Automatic,100720
Land,Rover,2015,Black,"KSh 10,500,000",Foreign Used,Automatic,
Ford,Ranger,2011,Silver,"KSh 2,200,000",Kenyan Used,Manual,
Toyota,Corolla,1995,Gray,"KSh 330,000",Kenyan Used,Automatic,270000
Toyota,Hilux,2016,Silver,"KSh 2,550,000",Kenyan Used,Manual,120000
Honda,Vezel,2016,Black,"KSh 2,649,000",Foreign Used,Automatic,103000
Subaru,Impreza,1997,Silver,"KSh 280,000",Kenyan Used,Manual,
Toyota,Esquire,2016,Green,"KSh 2,500,000",Foreign Used,Automatic,92482
Toyota,Noah,2010,Gray,"KSh 960,000",Kenyan Used,Automatic,144211
Suzuki,Ignis,2016,Red,"KSh 1,070,000",Foreign Used,Automatic,155000
Mazda,Premacy,2012,Black,"KSh 550,000",Kenyan Used,Automatic,102000
Toyota,Auris,2016,White,"KSh 1,700,000",Foreign Used,Automatic,42045
Mazda,CX-5,2016,Brown,"KSh 2,875,000",Foreign Used,Automatic,74000
Toyota,Vitz,2017,Silver,"KSh 1,270,000",Foreign Used,Automatic,195000
Subaru,Forester,2015,Black,"KSh 2,700,000",Foreign Used,Automatic,
Nissan,Navara,2021,Gray,"KSh 7,800,000",Foreign Used,AMT,17000
Toyota,Hilux,1990,Beige,"KSh 500,000",Kenyan Used,Manual,
Suzuki,Swift,2002,Red,"KSh 295,000",Kenyan Used,Manual,
Toyota,Harrier,2016,Purple,"KSh 3,690,000",Foreign Used,Automatic,82000
Lexus,RX,2016,White,"KSh 4,700,000",Foreign Used,Automatic,780000
Toyota,Corolla,2016,Black,"KSh 1,870,000",Foreign Used,Automatic,96000
Toyota,Land,2017,White,"KSh 11,500,000",Kenyan Used,Automatic,49000
Suzuki,Escudo,2015,Black,"KSh 2,200,000",Foreign Used,Automatic,
Toyota,Noah,2016,White,"KSh 2,440,000",Foreign Used,Automatic,96000
Toyota,Wish,2010,White,"KSh 1,050,000",Kenyan Used,Automatic,134056
Mercedes-Benz,C180,2007,Silver,"KSh 1,280,000",Kenyan Used,Automatic,96000
Nissan,X-Trail,2008,Silver,"KSh 750,000",Kenyan Used,Automatic,
Toyota,Corolla,2014,Black,"KSh 1,200,000",Kenyan Used,Automatic,102000
Toyota,Ractis,2014,Black,"KSh 850,000",Kenyan Used,Automatic,103000
Mitsubishi,Pajero,2008,Silver,"KSh 1,999,999",Kenyan Used,Automatic,162000
Nissan,Sylphy,2008,Silver,"KSh 620,000",Kenyan Used,Automatic,102000
Nissan,Navara,2007,Gray,"KSh 650,000",Kenyan Used,Automatic,170000
Toyota,Premio,2015,Red,"KSh 1,850,000",Kenyan Used,Automatic,600000
Toyota,Axio,2016,White,"KSh 1,580,000",Foreign Used,Automatic,134000
Subaru,Forester,2007,Gold,"KSh 950,000",Kenyan Used,Automatic,
Volkswagen,Tiguan,2012,Black,"KSh 1,970,000",Kenyan Used,Automatic,
Mercedes-Benz,C200,2016,Gray,"KSh 3,580,000",Foreign Used,Automatic,38000
Subaru,Impreza,2008,White,"KSh 750,000",Kenyan Used,Automatic,
Toyota,Corolla,2005,Silver,"KSh 500,000",Kenyan Used,Automatic,
Volvo,740,1988,White,"KSh 330,000",Kenyan Used,Manual,345278
Mazda,CX-5,2016,Red,"KSh 2,400,000",Foreign Used,Automatic,85231
Toyota,Land,2004,White,"KSh 2,450,000",Kenyan Used,Automatic,141000
Honda,Fit,2016,Silver,"KSh 1,299,000",Foreign Used,Automatic,130000
Toyota,Corolla,2005,Black,"KSh 560,000",Kenyan Used,Automatic,
Nissan,Advan,2011,White,"KSh 450,000",Kenyan Used,Automatic,
Toyota,Land,2016,Pearl,"KSh 6,500,000",Kenyan Used,Automatic,86899
Toyota,bB,2012,White,"KSh 550,000",Kenyan Used,Automatic,105000
Toyota,Hilux,2016,Blue,"KSh 5,500,000",Foreign Used,Automatic,51757
Toyota,Probox,2011,,"KSh 679,000",Kenyan Used,Automatic,97000
Toyota,Probox,2017,Silver,"KSh 1,000,000",Foreign Used,Automatic,
Toyota,Harrier,2016,White,"KSh 3,800,000",Foreign Used,Automatic,15239
Toyota,RAV4,2008,White,"KSh 1,500,000",Kenyan Used,Automatic,127733
Toyota,Land,2016,Pearl,"KSh 7,099,999",Foreign Used,Automatic,
Toyota,Voxy,2010,,"KSh 920,000",Kenyan Used,Automatic,109000
Toyota,Harrier,2016,Black,"KSh 3,890,000",Foreign Used,Automatic,44000
Isuzu,Tougher,1991,Green,"KSh 320,000",Kenyan Used,Manual,
BMW,X5,2015,White,"KSh 5,400,000",Foreign Used,Automatic,63000
Toyota,Land,2017,Black,"KSh 6,500,000",Foreign Used,Automatic,98523
Mazda,Demio,,white,"KSh 630,000",Kenyan Used,Automatic,99000
Mazda,Demio,2015,White,"KSh 1,130,000",Foreign Used,Automatic,100000
Nissan,Lafesta,2015,Gray,"KSh 1,125,000",Foreign Used,Automatic,108000
Subaru,Legacy,2015,Black,"KSh 1,900,000",Kenyan Used,Automatic,124000
Toyota,Aqua,2016,White,"KSh 1,365,000",Foreign Used,Automatic,115000
Toyota,Vitz,2016,White,"KSh 1,280,000",Foreign Used,Automatic,95000
Toyota,Harrier,2015,Black,"KSh 3,500,000",Foreign Used,Automatic,
Toyota,Probox,2012,White,"KSh 650,000",Kenyan Used,Automatic,108000
Toyota,Sienta,2016,Brown,"KSh 1,560,000",Foreign Used,Automatic,36000
Nissan,Note,2010,Pink,"KSh 575,000",Kenyan Used,Automatic,121000
