,Make,Model,Year,Color,Price,Foreign/Local,Engine Type,Mileage
72,Toyota,Axio,2010,White,890000,Kenyan Used,Automatic,142000.0
73,Nissan,Juke,2012,Black,1050000,Kenyan Used,Automatic,116496.0
74,Toyota,Corona,1993,White,350000,Kenyan Used,Manual,
75,Toyota,Corolla,2013,Silver,1180000,Kenyan Used,Automatic,112000.0
76,Subaru,Trezia,2016,White,1200000,Foreign Used,Automatic,72000.0
77,BMW,523i,2016,Silver,3555000,Foreign Used,Automatic,86312.0
78,Toyota,Sienta,2016,Silver,1355000,Foreign Used,Automatic,65410.0
79,Toyota,Premio,2006,Silver,780000,Kenyan Used,Automatic,142538.0
80,Mazda,Axela,2015,White,1380000,Kenyan Used,Manual,
81,Toyota,Axio,2007,White,710000,Kenyan Used,Automatic,153475.0
82,Toyota,Corolla,2014,Silver,1480000,Kenyan Used,Automatic,136023.0
83,Mazda,Demio,2015,Red,1050000,Foreign Used,Automatic,
84,Mitsubishi,Delica,2016,Gray,950000,Foreign Used,Automatic,114321.0
85,Toyota,Corolla,2017,Black,1750000,Foreign Used,Automatic,74105.0
86,Honda,Airwave,2008,Silver,400000,Kenyan Used,Automatic,
87,Subaru,Impreza,2010,Silver,880000,Kenyan Used,Automatic,77000.0
88,Toyota,Allion,2015,White,1895000,Foreign Used,Automatic,27540.0
89,Toyota,Premio,2012,Blue,1180000,Kenyan Used,Automatic,67000.0
90,Suzuki,Escudo,2009,Gray,1180000,Kenyan Used,Automatic,129000.0
91,Toyota,Corolla,2017,Purple,1745000,Foreign Used,Automatic,54207.0
92,Toyota,Hilux,2011,White,2250000,Kenyan Used,Automatic,
93,Toyota,Probox,2017,Silver,999990,Kenyan Used,Automatic,112000.0
94,Toyota,Hilux,2009,White,1999990,Kenyan Used,Manual,
95,Toyota,Mark,2016,Ivory,2200000,Foreign Used,Automatic,67945.0
96,Toyota,Harrier,2008,Black,1510000,Kenyan Used,Automatic,152023.0
97,Land,Rover,2016,Teal,5300000,Foreign Used,Automatic,74675.0
98,Jeep,Grand,2016,Pearl,5800000,Foreign Used,Automatic,85003.0
99,Toyota,Mark,2016,Burgundy,2450000,Foreign Used,Automatic,
100,Toyota,Harrier,nan,Black,3650000,Foreign Used,Automatic,84817.0
101,Toyota,Passo,2016,Red,900000,Foreign Used,Automatic,58095.0
102,Subaru,XV,2016,Teal,2000000,Foreign Used,Automatic,34798.0
103,Nissan,Teana,2016,Silver,1700000,Foreign Used,Automatic,85457.0
